Tue 22 Oct 2024, 11:46PM
('Scientist:', '', 'Participant:', '')
################# Phase 1 ######################
################# INIT balls ######################
16.026, 39, Clicked: None, x=565, y=649, Clicked: None, x=565, y=649, Clicked: None, x=565, y=649,  (255, 0, 0): x=873,  y=694,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=14,  score=14, (255, 0, 0): x=606,  y=702,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=12,  score=12, (255, 0, 0): x=1740,  y=675,  dx=-0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
16.41, 39, Clicked: None, x=559, y=635, Clicked: (255, 0, 0), x=559,  y=635, Clicked: None, x=559, y=635,  (255, 0, 0): x=844,  y=691,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=14,  score=14, (204, 0, 0): x=576,  y=653,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=13,  score=13, (255, 0, 0): x=1694,  y=681,  dx=-0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
16.559, 40, Clicked: None, x=555, y=628, Clicked: (255, 0, 0), x=555,  y=628, Clicked: None, x=555, y=628,  (255, 0, 0): x=832,  y=690,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=14,  score=14, (204, 0, 0): x=564,  y=634,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=14,  score=14, (255, 0, 0): x=1676,  y=684,  dx=-0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
16.725, 41, Clicked: None, x=519, y=582, Clicked: (255, 0, 0), x=519,  y=582, Clicked: None, x=519, y=582,  (255, 0, 0): x=819,  y=688,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=14,  score=14, (204, 0, 0): x=551,  y=612,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=15,  score=15, (255, 0, 0): x=1656,  y=686,  dx=-0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
16.891, 42, Clicked: None, x=504, y=564, Clicked: (255, 0, 0), x=504,  y=564, Clicked: None, x=504, y=564,  (255, 0, 0): x=806,  y=687,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=14,  score=14, (204, 0, 0): x=537,  y=591,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=16,  score=16, (255, 0, 0): x=1637,  y=689,  dx=-0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
17.022, 43, Clicked: None, x=493, y=550, Clicked: (255, 0, 0), x=493,  y=550, Clicked: None, x=493, y=550,  (255, 0, 0): x=796,  y=686,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=14,  score=14, (204, 0, 0): x=527,  y=574,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=17,  score=17, (255, 0, 0): x=1621,  y=691,  dx=-0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
17.172, 44, Clicked: None, x=486, y=543, Clicked: (255, 0, 0), x=486,  y=543, Clicked: None, x=486, y=543,  (255, 0, 0): x=784,  y=685,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=14,  score=14, (204, 0, 0): x=515,  y=555,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=18,  score=18, (255, 0, 0): x=1603,  y=693,  dx=-0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
17.305, 45, Clicked: None, x=466, y=519, Clicked: (255, 0, 0), x=466,  y=519, Clicked: None, x=466, y=519,  (255, 0, 0): x=774,  y=684,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=14,  score=14, (204, 0, 0): x=504,  y=538,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=19,  score=19, (255, 0, 0): x=1587,  y=695,  dx=-0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
17.554, 46, Clicked: None, x=454, y=482, Clicked: (255, 0, 0), x=454,  y=482, Clicked: None, x=454, y=482,  (255, 0, 0): x=754,  y=682,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=14,  score=14, (204, 0, 0): x=484,  y=506,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=20,  score=20, (255, 0, 0): x=1557,  y=699,  dx=-0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
17.785, 47, Clicked: None, x=439, y=445, Clicked: (255, 0, 0), x=439,  y=445, Clicked: None, x=439, y=445,  (255, 0, 0): x=736,  y=681,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=14,  score=14, (204, 0, 0): x=466,  y=476,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=21,  score=21, (255, 0, 0): x=1529,  y=703,  dx=-0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
17.969, 48, Clicked: None, x=428, y=425, Clicked: (255, 0, 0), x=428,  y=425, Clicked: None, x=428, y=425,  (255, 0, 0): x=722,  y=679,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=14,  score=14, (204, 0, 0): x=451,  y=452,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=22,  score=22, (255, 0, 0): x=1508,  y=705,  dx=-0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
18.118, 49, Clicked: None, x=403, y=387, Clicked: (255, 0, 0), x=403,  y=387, Clicked: None, x=403, y=387,  (255, 0, 0): x=710,  y=678,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=14,  score=14, (204, 0, 0): x=439,  y=433,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=23,  score=23, (255, 0, 0): x=1490,  y=708,  dx=-0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
18.381, 50, Clicked: None, x=400, y=382, Clicked: (255, 0, 0), x=400,  y=382, Clicked: None, x=400, y=382,  (255, 0, 0): x=689,  y=676,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=14,  score=14, (204, 0, 0): x=418,  y=399,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=24,  score=24, (255, 0, 0): x=1458,  y=712,  dx=-0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
