Wed 28 Aug 2024, 09:59PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
14.473, 31, Clicked: None, x=407, y=562,  RED: x=351,  y=591,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=32,  score=18, ORANGE: x=1312,  y=484,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=0,  score=0, YELLOW: x=393,  y=770,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
15.146, 31, Clicked: ORANGE, x=1263,  y=563,  RED: x=306,  y=651,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=32,  score=18, DARK_ORANGE: x=1258,  y=553,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=1,  score=0, YELLOW: x=324,  y=814,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
15.276, 31, Clicked: ORANGE, x=1256,  y=571,  RED: x=297,  y=663,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=32,  score=18, DARK_ORANGE: x=1247,  y=567,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=2,  score=0, YELLOW: x=310,  y=823,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
15.459, 31, Clicked: ORANGE, x=1218,  y=613,  RED: x=285,  y=679,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=32,  score=18, DARK_ORANGE: x=1233,  y=586,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=3,  score=0, YELLOW: x=292,  y=835,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
15.559, 31, Clicked: ORANGE, x=1214,  y=621,  RED: x=278,  y=688,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=32,  score=18, DARK_ORANGE: x=1225,  y=596,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=4,  score=0, YELLOW: x=282,  y=841,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
15.676, 31, Clicked: ORANGE, x=1209,  y=627,  RED: x=271,  y=698,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=32,  score=18, DARK_ORANGE: x=1216,  y=608,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=5,  score=0, YELLOW: x=270,  y=849,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
15.807, 31, Clicked: ORANGE, x=1199,  y=645,  RED: x=262,  y=710,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=32,  score=18, DARK_ORANGE: x=1205,  y=621,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=6,  score=0, YELLOW: x=256,  y=857,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
16.071, 31, Clicked: ORANGE, x=1165,  y=690,  RED: x=244,  y=733,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=32,  score=18, DARK_ORANGE: x=1184,  y=648,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=7,  score=0, YELLOW: x=229,  y=875,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
16.232, 31, Clicked: ORANGE, x=1162,  y=693,  RED: x=233,  y=748,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=32,  score=18, DARK_ORANGE: x=1170,  y=665,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=8,  score=0, YELLOW: x=213,  y=885,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
16.396, 31, Clicked: ORANGE, x=1141,  y=708,  RED: x=222,  y=763,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=32,  score=18, DARK_ORANGE: x=1157,  y=682,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=9,  score=0, YELLOW: x=196,  y=896,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
