Mon 29 Jan 2024, 10:52PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, BLUE x=273 y=387 dx=-0.015977644047738056 dy=-0.0987153224716598 clicks=0 score=0, RED x=898 y=378 dx=0.09930471421805133 dy=-0.011771734539614562 clicks=0 score=0, GREEN x=1216 y=222 dx=0.05969634481172388 dy=-0.080226843488447 clicks=0 score=0, 
14.855, 13, Clicked: RED, x=1142,  y=286,  BLUE: x=188,  y=434,  dx=0.015977644047738056,  dy=-0.0987153224716598,  clicks=15,  score=4, DARK_RED: x=1142,  y=274,  dx=-0.09930471421805133,  dy=-0.011771734539614562,  clicks=17,  score=5, GREEN: x=1175,  y=433,  dx=-0.05969634481172388,  dy=-0.080226843488447,  clicks=14,  score=4,
14.991, 13, Clicked: RED, x=1142,  y=286,  BLUE: x=189,  y=426,  dx=0.015977644047738056,  dy=-0.0987153224716598,  clicks=15,  score=4, DARK_RED: x=1134,  y=273,  dx=-0.09930471421805133,  dy=-0.011771734539614562,  clicks=18,  score=5, GREEN: x=1171,  y=427,  dx=-0.05969634481172388,  dy=-0.080226843488447,  clicks=14,  score=4,
15.158999999999999, 13, Clicked: RED, x=1142,  y=286,  BLUE: x=190,  y=416,  dx=0.015977644047738056,  dy=-0.0987153224716598,  clicks=15,  score=4, DARK_RED: x=1124,  y=272,  dx=-0.09930471421805133,  dy=-0.011771734539614562,  clicks=19,  score=5, GREEN: x=1165,  y=419,  dx=-0.05969634481172388,  dy=-0.080226843488447,  clicks=14,  score=4,
15.465, 13, Clicked: GREEN, x=1146,  y=377,  BLUE: x=193,  y=398,  dx=0.015977644047738056,  dy=-0.0987153224716598,  clicks=15,  score=4, RED: x=1106,  y=270,  dx=-0.09930471421805133,  dy=-0.011771734539614562,  clicks=19,  score=5, DARK_GREEN: x=1154,  y=404,  dx=-0.05969634481172388,  dy=-0.080226843488447,  clicks=15,  score=5,
15.600999999999999, 14, Clicked: GREEN, x=1146,  y=377,  BLUE: x=195,  y=390,  dx=0.015977644047738056,  dy=-0.0987153224716598,  clicks=15,  score=4, RED: x=1098,  y=269,  dx=-0.09930471421805133,  dy=-0.011771734539614562,  clicks=19,  score=5, DARK_GREEN: x=1149,  y=398,  dx=-0.05969634481172388,  dy=-0.080226843488447,  clicks=16,  score=5,
15.703, 14, Clicked: GREEN, x=1146,  y=377,  BLUE: x=196,  y=385,  dx=0.015977644047738056,  dy=-0.0987153224716598,  clicks=15,  score=4, RED: x=1092,  y=268,  dx=-0.09930471421805133,  dy=-0.011771734539614562,  clicks=19,  score=5, DARK_GREEN: x=1145,  y=393,  dx=-0.05969634481172388,  dy=-0.080226843488447,  clicks=17,  score=5,
15.939999999999998, 14, Clicked: None, x=1004, y=250,  BLUE: x=198,  y=371,  dx=0.015977644047738056,  dy=-0.0987153224716598,  clicks=15,  score=4, RED: x=1078,  y=267,  dx=-0.09930471421805133,  dy=-0.011771734539614562,  clicks=19,  score=5, GREEN: x=1137,  y=382,  dx=-0.05969634481172388,  dy=-0.080226843488447,  clicks=17,  score=5,
16.108, 14, Clicked: None, x=1004, y=250,  BLUE: x=199,  y=361,  dx=0.015977644047738056,  dy=-0.0987153224716598,  clicks=15,  score=4, RED: x=1068,  y=265,  dx=-0.09930471421805133,  dy=-0.011771734539614562,  clicks=19,  score=5, GREEN: x=1131,  y=374,  dx=-0.05969634481172388,  dy=-0.080226843488447,  clicks=17,  score=5,
16.244, 14, Clicked: RED, x=1004,  y=252,  BLUE: x=201,  y=353,  dx=0.015977644047738056,  dy=-0.0987153224716598,  clicks=15,  score=4, DARK_RED: x=1060,  y=265,  dx=-0.09930471421805133,  dy=-0.011771734539614562,  clicks=20,  score=6, GREEN: x=1126,  y=368,  dx=-0.05969634481172388,  dy=-0.080226843488447,  clicks=17,  score=5,
16.474, 15, Clicked: RED, x=1021,  y=284,  BLUE: x=203,  y=339,  dx=0.015977644047738056,  dy=-0.0987153224716598,  clicks=15,  score=4, DARK_RED: x=1045,  y=261,  dx=-0.11834561610898757,  dy=-0.03859723088449488,  clicks=21,  score=6, GREEN: x=1119,  y=358,  dx=-0.04065544292078764,  dy=-0.053401347143566674,  clicks=17,  score=5,
